Roll No,1,2,3,4,5,6,7,8,9,10,Target
1,2.5,1.0,5.0,4.0,2.0,5.0,2.5,3.0,4.0,3.5,4
2,4.0,1.5,7.0,5.5,3.5,4.0,3.5,4.5,5.5,4.5,4
3,3.5,1.5,5.5,6.5,5.0,5.5,4.5,3.0,5.5,5.5,1
4,3.0,2.0,6.0,4.5,4.0,5.5,4.5,5.0,6.5,4.0,6
5,3.5,2.0,6.5,7.0,4.5,5.5,5.0,3.5,5.5,4.5,3
6,3.0,1.0,3.5,5.0,3.5,4.5,3.0,2.0,4.0,5.0,1
7,0.5,0.0,1.0,3.5,2.0,2.5,0.5,2.0,2.5,0.0,1
8,1.0,0.5,2.0,5.0,2.5,4.5,3.0,3.0,5.0,3.0,6
9,3.5,1.5,3.5,3.5,2.5,4.5,3.5,2.0,5.5,4.0,6
10,3.0,1.5,4.0,4.5,3.5,4.5,2.5,3.5,5.0,5.0,1
11,4.0,2.0,7.0,5.5,5.0,6.0,4.5,4.0,6.0,5.0,1
12,4.0,2.0,5.0,7.0,4.5,6.0,5.0,3.5,6.0,7.0,3
13,2.5,2.0,5.0,6.0,4.0,6.0,3.5,5.0,5.5,6.0,2
14,2.0,1.5,5.0,6.0,4.0,3.5,4.0,2.5,4.0,4.0,3
15,4.0,2.0,6.5,7.0,5.0,6.0,3.5,5.0,7.0,5.5,1
16,1.5,1.0,3.5,4.0,3.0,2.0,3.0,2.5,5.0,3.5,6
17,3.0,1.0,2.5,3.5,3.0,4.0,3.0,2.0,3.5,3.5,1
18,2.0,1.0,3.0,1.0,1.5,0.0,0.5,1.5,2.0,2.5,4
19,0.5,0.5,3.5,1.0,1.0,2.0,2.0,0.5,1.0,1.5,3
20,2.0,1.0,2.5,3.5,2.5,4.0,2.0,2.5,3.0,5.5,5
21,4.0,2.0,5.0,6.0,4.5,4.5,3.0,4.0,4.0,5.5,2
22,4.0,1.5,6.5,5.0,4.5,4.5,5.0,5.0,7.0,7.0,3
23,4.0,1.5,7.0,7.0,4.0,6.0,5.0,3.5,7.0,7.0,3
24,2.0,1.5,3.5,6.0,2.5,3.0,2.5,2.5,4.5,5.0,2
25,3.0,1.5,4.5,5.0,4.5,4.5,4.0,5.0,7.0,7.0,5
26,4.0,2.0,7.0,7.0,4.5,5.0,5.0,4.5,7.0,6.5,3
27,1.5,1.0,3.0,4.0,2.5,4.0,3.5,1.5,2.0,4.0,3
28,0.5,1.0,2.0,1.0,0.5,1.0,1.0,2.5,0.5,2.5,5
29,1.5,1.0,3.0,3.5,2.0,4.0,3.0,3.5,3.0,4.0,3
30,4.0,1.5,5.5,6.5,5.0,5.5,3.5,4.5,7.0,6.0,6
31,2.0,1.0,5.0,3.0,3.0,2.0,2.5,2.5,3.5,4.0,4
32,0.0,0.5,3.0,2.5,1.0,1.5,0.5,1.5,0.5,0.5,2
33,4.0,1.5,7.0,7.0,5.0,5.0,5.0,4.5,6.0,7.0,3
34,2.0,1.5,3.0,2.5,3.0,3.5,2.5,2.0,3.5,6.0,5
35,3.0,1.5,2.0,4.0,2.5,3.0,2.0,2.5,3.5,2.5,2
36,2.5,1.5,3.5,4.0,1.5,3.5,2.0,3.5,2.5,4.0,2
37,3.5,1.5,4.5,4.5,2.5,4.0,4.0,4.5,6.0,7.0,5
38,2.0,1.0,4.0,4.0,3.0,4.0,3.5,3.5,5.0,4.5,6
39,3.0,1.0,5.0,5.0,2.5,3.0,3.0,2.5,5.5,2.0,6
40,2.0,0.5,0.0,2.5,2.5,2.5,2.0,2.5,3.0,2.0,1
41,4.0,2.0,5.5,7.0,5.0,5.0,4.5,4.0,6.5,7.0,5
42,4.0,2.0,7.0,6.5,5.0,5.0,4.5,5.0,6.0,7.0,4
43,2.0,1.0,5.0,3.5,4.0,5.0,3.5,3.0,4.5,3.5,1
44,3.0,2.0,7.0,6.5,4.0,6.0,4.5,3.5,5.5,7.0,5
45,4.0,1.5,7.0,6.0,5.0,6.0,5.0,3.5,5.5,6.0,1
46,2.0,1.0,4.0,1.5,2.0,1.5,3.0,2.5,3.0,3.0,3
47,1.5,0.5,2.0,1.5,3.0,3.0,2.5,1.0,3.0,3.5,1
